中文,英文
冷害,cold injury
根冠比,root/shoot ratio
光周期现象,photoperiodism
功能叶,functional leaf
春化[作用],vernalization
光合效率,photosynthetic efficiency
抗病性,disease resistance
苗期,seedling stage
抗倒伏性,lodging resistance
莲座期,rosette stage
蜡熟,dough stage
结球期,heading stage
早熟性,earliness
结果习性,fruit bearing habit
抗寒性,cold resistance
抗风性,wind resistance
临界生长期,critical period of growth
座果,fruit setting
营养枝,vegetative shoot
半冬性,semiwinterness
光周期,photoperiod
霜害,frost injury
早衰,presenility
冻害,freezing injury
衰老,senescence
幼穗分化期,panicle [spike] primordium differentiation stage
拔节期,shooting stage
成熟期,maturing stage
茎秆强度,straw stiffness
隔年结果,biennial bearing
越冬性,winter hardiness
锻炼,hardening
分蘖,tiller
分蘖节,tillering node
茎叶比,stem/leaf ratio
穗密度,spike density
春性,springness
叶面积,leaf area
耐渍性,waterlogging tolerance
耐碱性,alkali tolerance
净光合作用,net photosynthesis
分蘖期,tillering stage
抗裂荚[落粒]性,shattering resistance
孕穗期,booting stage
生理干旱,physiological drought
开花期,flowering stage
黄熟,yellow ripe
落蕾,flower bud dropping
完熟,full ripe
结果期,fruiting period
无效分蘖,ineffective tiller
棉铃,cotton boll
冬性,winterness
耐盐性,saline tolerance
适应性,adaptability
呼吸系数,coefficient of respiration
盛果期,full bearing period
抽薹,bolting
空秆,barreness
块茎指数,tuber index
结果枝,fruit bearing shoot
生长期,growing period
落荚,pod dropping
乳熟,milky ripe
后熟,after ripening
晚熟性,lateness
生长习性,growth habit
无限生长,indeterminate growth
[玉米]抽丝,[corn] silking
生理病害,physiological disease
落果,fruit dropping
倒伏,lodging
抽穗期,heading stage
有限生长,determinate growth
结果周期性,periodicity of fruiting
叶龄,leaf age
生长率,growth rate
有效分蘖,effective tiller
短果枝,fruit spur
旗叶,flag leaf
阶段发育,phasic development
叶面积指数,leaf area index
光合强度,photosynthetic intensity
耐热性,heat tolerance
蕾期,bud stage
落花,blossom dropping
分蘖力,tillering ability
采摘期,picking period
生理成熟,physiological maturity
突变体,mutant
鲜重,fresh weight
体细胞接合,somatogamy
发芽率,germination rate
胚乳直感,xenia
易位,translocation
核融合,karyomixis
移码,frameshift
轮回亲本,recurrent parent
亲和,compatible
供体,donor
受体,recipient
随机交配,random mating
DNA重组,DNA recombination
核糖核酸,ribonucleic acid
脱氧腺苷酸,deoxyadenylic acid
亲代,parental generation
母本,female parent
杂种第一代,F1
胞质杂种,cybrid
全同胞交配,full-sib mating
非轮回亲本,non-recurrent parent
突变谱,mutation spectrum
属间杂交,intergeneric cross
突变第二代,M2[in mutation]
保持系,maintainer line
去雄,emasculation
遗传获得量,genetic gain
群体,population
自花授粉,self-pollination
微效基因抗[病]性,minor gene resistance
穿梭育种,shuttle breeding
品质育种,breeding for quality
混系品种,composite variety
[油菜]双低育种,breeding for double low [erucic acid and glucosinolate] content in rapeseed
田间去杂,rogueing
种子饱满度,seed plumpness
种子含水量,seed moisture content
种子仓库,seed granary
拌种,seed dressing
加温干燥,heat drying
基因转移,gene transfer
[细]胞质突变,cytoplasmic mutation
释放因子,releasing factor
脱氧鸟苷酸,deoxyguanylic acid
种间杂交,interspecific cross
无性杂交,vegetative hybridization
双列杂交,diallel cross
孢子体自交不亲和系统,sporophytic self-incompatibility system
核雄性不育系,genic male sterile line
雄性不育,male sterile
早代测验,early generation test
选择差,selection differential
辅助授粉,sumplementary pollination
发芽势,germination vigor
种子鉴定,seed identification
种子容重,seed volume-weight
正反交,reciprocal cross
突变第一代,M1[in mutation]
单倍体育种,haploid breeding
花粉蒙导,pollen mentor
混合选择,mass selection
单粒传法,single seed descent
奥帕克-2[玉米]突变体,opaque-2 mutant [corn]
终止子,terminator
细胞培养,cell culture
原位分子杂交,molecular hybridization in situ
激活子,activator
限制[性内切核酸]酶,restriction endonuclease
顺反子,cistron
原球茎,protocorm
全酶,holoenzyme
转导,transduction
代换,substitution
简并[性],degeneracy
极性,polarity
核移植,nucleus transplantation
缺失,deletion
测交,test cross
近交系数,inbreeding coefficient
近交退化,inbreeding depression
单交,single cross
双交,double cross
多系杂交,polycross
品种间杂交,intervarietal cross
核质杂种,nucleo-cytoplasmic hybrid
自交可育性,self-fertility
雄性不育系,male sterile line
克隆,clone
派生系统法,derived-line method
远缘杂种,distant hybrid
自交种子,selfed seed
改良系谱法,modified pedigree method
改良品种,improved variety
双交种,double cross hybrid
三系杂种,three-way cross hybrid
品种区域化,variety regionalization
推广品种,commercial variety
空间隔离,distance isolation
引进品种,introduced variety
原种,foundation seed
种子提纯,seed purification
原种圃,foundation seed nursery
种子整齐度,seed uniformity
异地保存,ex situ conservation
次级起源中心,secondary center of origin
野生近缘种,wild relatives
自然选择,natural selection
作物起源,origin of crop
作物起源中心,center of origin of crop
超低温保存,cryopreservation
基因库,gene bank
基因源,gene pool
[育性]恢复基因,[fertility] restoring gene
种质圃,field gene bank
种质基本资料,passport data
易位系,translocation line
质量遗传,qualitative inheritance
异常型种子,recalcitrant seed
突变子,muton
剂量效应,dose effect
雄性不育基因,male sterile gene
整倍体,euploid
同源四倍体,autotetraploid
非整倍体,aneuploid
双倍体,amphiploid
品种,variety
核心酶,core enzyme
遗传完整性,genetic integrity
品种间杂种,intervarietal hybrid
超亲遗传,transgressive inheritance
内含子,intron
杂种第二代,F2
家系,line
核型,karyotype
器官培养,organ culture
准性杂交,parasexual hybridization
逆[转]录酶,reverse transcriptase
变性,denaturation
辅助因子,co-factor
细胞亲和力,cellular affinity
核酸,nucleic acid
核[溶]解,karyolysis
间隔,spacer
同质性,homogeneity
核苷酸,nucleotide
连续分布,continuous distribution
间断分布,discontinuous distribution
线粒体互补,mitochondrial complementation
超亲优势,heterobeltiosis
后代,progeny
互交,intercrossing
聚合杂交,convergent cross
细胞质不亲和性,cytoplasmic incompatibility
无性第一代,V1[in vegetative hybridization]
自交亲和性,self-compatibility
自交不亲和性,self-incompatibillity
诱变育种,mutation breeding
自交系,inbred line
杂交可育,cross fertile
雌性不育,female sterile
单株选择,individual plant selection
芽选择,bud selection
孤雌生殖,parthenogenesis
理想株型,ideotype
后代测验,progeny test
特殊配合力,specific combining ability
选择,selection
授粉,pollination
混合法,bulk method
纯育,breeding true
穗行法,ear-to-row method
铃行法,boll-row method
家系选择,line selection
人工授粉,artificial pollination
轮回选择,recurrent selection
混合授粉,mixed pollination
抗逆育种,breeding for stress tolerance
多系品种,multiline variety
抗病育种,breeding for disease resistance
单交种,single cross hybrid
品种审定,variety certification
推广种[子],commercial seed
繁殖区,multiplication plot
发芽试验,germination test
种子测定,seed testing
纯度测定,purity testing
种子清选,seed cleaning
种子休眠,seed dormancy
贮藏期,storage period
层积处理,stratification
加性效应,additive effect
基因性不育,genic sterility
酶工程,enzyme engineering
异源四倍体,allotetraploid
生物技术,biotechnology
双二倍体,amphidiploid
微体繁殖,micropropagation
脱氧核糖核酸,deoxyribonucleic acid
定向选择,directional selection
品种鉴定,variety identification
种子消毒,seed disinfection
离体保存,in vitro conservation
同源多倍体,autopolyploid
操纵子,operon
细胞工程,cell engineering
胚培养,embryo culture
染色体工程,chromosome engineering
组织培养,tissue culture
体细胞杂交,somatic hybridization
花粉培养,pollen culture
连接酶,ligase
种质长期保存材料,base collections
内融合,endomixis
倒位,inversion
细胞融合,cytomixis
杂种优势,heterosis
杂交育种,cross breeding
自交,selfing
回交,backcross
半同胞交配,half-sib mating
渐渗杂交,introgressive hybridization
诱变剂,mutagen
杂交不亲和性,cross incompatibility
诱变效应,mutagenic effect
